match_id,team_b_id,team_r_id,team_b_picks,team_r_picks
1,8,7,"[56, 80, 161, 168, 90]","[22, 125, 14, 124, 72]"
2,7,8,"[109, 139, 13, 116, 107]","[39, 94, 113, 10, 19]"
3,7,8,"[1, 150, 9, 57, 91]","[123, 51, 37, 157, 15]"
4,7,8,"[6, 159, 97, 145, 5]","[112, 156, 3, 25, 104]"
5,1,2,"[43, 71, 133, 10, 17]","[53, 80, 14, 116, 19]"
6,2,1,"[109, 150, 37, 25, 5]","[123, 159, 152, 157, 104]"
7,2,1,"[1, 51, 113, 145, 107]","[6, 115, 13, 54, 100]"
8,1,2,"[112, 125, 97, 163, 15]","[162, 156, 161, 168, 90]"
9,3,4,"[109, 151, 9, 57, 107]","[56, 80, 97, 75, 108]"
10,3,4,"[43, 150, 168, 33, 5]","[122, 159, 133, 54, 15]"
11,4,3,"[37, 156, 152, 163, 59]","[112, 139, 23, 25, 91]"
12,5,6,"[1, 159, 9, 55, 72]","[40, 106, 113, 57, 91]"
13,6,5,"[6, 139, 3, 116, 19]","[52, 115, 70, 33, 59]"
14,6,5,"[56, 80, 161, 168, 100]","[24, 150, 23, 124, 104]"
15,6,5,"[109, 51, 152, 25, 90]","[123, 71, 97, 75, 107]"
16,6,5,"[112, 125, 14, 145, 5]","[37, 156, 133, 163, 15]"
17,1,2,"[43, 51, 133, 55, 107]","[6, 139, 2, 75, 15]"
18,2,1,"[109, 96, 113, 25, 91]","[56, 156, 79, 10, 137]"
19,2,1,"[123, 159, 14, 54, 100]","[112, 150, 168, 57, 5]"
20,3,6,"[109, 159, 168, 57, 104]","[13, 125, 37, 54, 5]"
21,6,3,"[112, 156, 14, 25, 91]","[123, 139, 9, 163, 108]"
22,7,4,"[1, 150, 13, 55, 5]","[123, 159, 133, 157, 104]"
23,4,7,"[112, 156, 152, 163, 107]","[98, 139, 97, 57, 91]"
24,5,8,"[24, 139, 152, 124, 91]","[109, 94, 2, 57, 72]"
25,8,5,"[123, 51, 14, 54, 15]","[6, 80, 161, 33, 5]"
26,5,8,"[43, 159, 9, 25, 107]","[52, 156, 97, 163, 104]"
27,1,5,"[162, 156, 46, 157, 104]","[52, 115, 97, 75, 88]"
28,5,1,"[109, 159, 133, 57, 90]","[56, 125, 152, 163, 91]"
29,1,5,"[112, 150, 37, 33, 15]","[43, 139, 9, 25, 107]"
30,6,2,"[112, 125, 133, 75, 5]","[68, 156, 2, 163, 15]"
31,2,6,"[43, 159, 113, 157, 104]","[6, 150, 97, 124, 91]"
32,7,3,"[123, 100, 13, 55, 72]","[56, 159, 113, 10, 137]"
33,3,7,"[43, 156, 9, 163, 108]","[6, 139, 37, 25, 90]"
34,7,3,"[109, 125, 14, 145, 107]","[41, 150, 133, 54, 5]"
35,8,4,"[109, 150, 13, 57, 5]","[56, 159, 133, 25, 15]"
36,8,4,"[43, 156, 14, 54, 104]","[112, 115, 161, 33, 91]"
37,2,5,"[13, 150, 37, 58, 91]","[112, 51, 152, 33, 107]"
38,5,2,"[6, 159, 9, 75, 19]","[43, 125, 133, 25, 5]"
39,8,3,"[56, 51, 152, 116, 90]","[109, 156, 9, 33, 5]"
40,3,8,"[112, 150, 133, 57, 107]","[123, 139, 97, 75, 19]"
41,7,6,"[41, 156, 113, 10, 19]","[109, 125, 97, 116, 107]"
42,6,7,"[112, 150, 133, 145, 104]","[123, 139, 14, 124, 5]"
43,1,4,"[52, 115, 14, 25, 107]","[112, 80, 161, 33, 19]"
44,4,1,"[129, 159, 9, 145, 104]","[123, 156, 13, 124, 5]"
45,1,8,"[123, 159, 9, 21, 11]","[1, 139, 152, 58, 108]"
46,8,1,"[111, 87, 2, 145, 90]","[6, 99, 133, 168, 72]"
47,5,3,"[53, 66, 37, 145, 90]","[123, 151, 91, 33, 107]"
48,3,5,"[112, 99, 133, 54, 100]","[113, 159, 2, 57, 5]"
49,7,2,"[109, 73, 9, 167, 90]","[56, 96, 113, 84, 19]"
50,2,7,"[53, 99, 152, 157, 104]","[112, 80, 25, 54, 107]"
51,7,2,"[43, 115, 2, 145, 91]","[52, 159, 133, 33, 5]"
52,6,4,"[98, 159, 2, 75, 83]","[109, 99, 130, 57, 91]"
53,6,4,"[6, 150, 133, 33, 5]","[154, 87, 9, 54, 112]"
54,1,7,"[92, 159, 133, 33, 72]","[53, 125, 2, 11, 19]"
55,1,7,"[112, 99, 138, 25, 5]","[6, 80, 161, 58, 108]"
56,2,4,"[112, 125, 130, 54, 100]","[37, 99, 133, 124, 5]"
57,4,2,"[92, 159, 14, 145, 91]","[53, 115, 152, 33, 104]"
58,8,5,"[48, 94, 14, 84, 107]","[40, 80, 158, 75, 83]"
59,5,8,"[123, 159, 2, 157, 104]","[109, 92, 161, 126, 5]"
60,5,8,"[112, 99, 133, 33, 90]","[43, 87, 152, 54, 72]"
61,3,6,"[162, 125, 168, 75, 83]","[40, 73, 13, 25, 90]"
62,6,3,"[37, 87, 133, 84, 5]","[112, 99, 14, 33, 100]"
63,7,6,"[156, 87, 152, 54, 90]","[22, 125, 46, 124, 5]"
64,6,7,"[40, 73, 161, 84, 100]","[109, 80, 130, 58, 108]"
65,7,6,"[112, 159, 133, 11, 19]","[6, 115, 14, 25, 104]"
66,2,8,"[6, 73, 53, 58, 5]","[22, 115, 161, 168, 72]"
67,8,2,"[43, 151, 133, 145, 90]","[109, 87, 2, 33, 107]"
68,1,3,"[13, 150, 2, 25, 72]","[112, 159, 91, 57, 100]"
69,3,1,"[123, 73, 168, 145, 107]","[1, 115, 133, 33, 5]"
70,4,5,"[109, 94, 97, 55, 50]","[40, 120, 133, 157, 107]"
71,5,4,"[112, 80, 161, 84, 90]","[162, 125, 152, 33, 5]"
72,4,5,"[92, 159, 14, 25, 19]","[53, 115, 130, 57, 104]"
73,5,2,"[123, 73, 161, 168, 99]","[1, 80, 6, 145, 17]"
74,2,5,"[109, 115, 130, 58, 5]","[41, 156, 2, 33, 72]"
75,2,5,"[112, 159, 14, 54, 107]","[113, 87, 133, 84, 90]"
76,1,6,"[1, 159, 113, 145, 72]","[109, 87, 152, 33, 19]"
77,6,1,"[43, 115, 25, 54, 5]","[153, 125, 14, 84, 104]"
78,7,3,"[112, 115, 25, 75, 83]","[37, 99, 23, 58, 90]"
79,3,7,"[109, 125, 14, 145, 5]","[1, 94, 158, 167, 104]"
80,8,4,"[40, 87, 113, 84, 15]","[109, 115, 152, 157, 104]"
81,8,4,"[53, 99, 133, 58, 90]","[41, 159, 14, 25, 5]"
82,8,5,"[40, 87, 14, 84, 104]","[78, 159, 133, 33, 72]"
83,1,3,"[1, 115, 161, 145, 91]","[109, 87, 23, 33, 107]"
84,7,6,"[112, 125, 53, 57, 107]","[43, 115, 25, 138, 19]"
85,4,2,"[123, 150, 130, 58, 108]","[1, 115, 14, 11, 59]"
86,2,1,"[53, 150, 2, 33, 104]","[162, 87, 133, 145, 90]"
87,3,5,"[37, 87, 14, 57, 91]","[112, 100, 53, 11, 5]"
88,6,4,"[6, 150, 14, 33, 5]","[112, 49, 75, 145, 90]"
89,7,8,"[56, 159, 14, 145, 90]","[53, 87, 133, 33, 107]"
90,1,5,"[37, 159, 113, 84, 104]","[112, 51, 14, 33, 5]"
91,2,8,"[123, 87, 152, 145, 90]","[53, 115, 130, 33, 19]"
92,6,3,"[6, 150, 14, 33, 15]","[123, 159, 133, 58, 108]"
93,4,7,"[112, 125, 23, 145, 5]","[37, 159, 14, 157, 104]"
94,6,2,"[40, 150, 13, 57, 104]","[113, 115, 161, 33, 5]"
95,3,4,"[56, 125, 14, 11, 108]","[6, 150, 23, 25, 91]"
96,4,2,"[39, 73, 161, 33, 72]","[22, 115, 130, 57, 31]"
97,2,4,"[56, 125, 13, 25, 15]","[129, 159, 46, 145, 100]"
98,5,3,"[56, 156, 3, 33, 5]","[53, 154, 14, 57, 104]"
99,3,5,"[112, 159, 133, 145, 90]","[6, 80, 97, 25, 107]"
100,8,6,"[52, 171, 6, 25, 100]","[109, 115, 161, 145, 72]"
101,4,6,"[144, 49, 152, 11, 90]","[22, 156, 133, 168, 15]"
102,6,4,"[112, 115, 161, 54, 5]","[37, 80, 126, 57, 104]"
103,4,6,"[56, 171, 23, 25, 107]","[53, 150, 14, 33, 72]"
104,8,3,"[56, 156, 152, 57, 31]","[6, 171, 37, 55, 72]"
105,3,8,"[109, 159, 14, 145, 99]","[40, 115, 130, 11, 104]"
106,3,8,"[112, 150, 13, 25, 90]","[98, 80, 53, 33, 100]"
107,1,2,"[80, 71, 161, 168, 17]","[52, 115, 130, 167, 19]"
108,2,1,"[56, 156, 13, 57, 90]","[143, 159, 133, 11, 72]"
109,1,2,"[53, 49, 6, 145, 107]","[112, 150, 97, 25, 5]"
110,7,5,"[144, 151, 2, 145, 104]","[109, 7, 161, 168, 90]"
111,5,7,"[6, 80, 14, 21, 107]","[112, 159, 130, 84, 100]"
112,7,5,"[56, 150, 13, 33, 99]","[53, 115, 152, 25, 19]"
113,2,3,"[13, 94, 97, 33, 72]","[109, 150, 133, 25, 99]"
114,2,3,"[112, 115, 161, 58, 116]","[56, 156, 14, 29, 108]"
115,1,8,"[112, 156, 97, 55, 19]","[13, 159, 3, 84, 107]"
116,1,8,"[53, 150, 14, 33, 31]","[6, 151, 37, 145, 100]"
117,7,6,"[100, 150, 2, 145, 104]","[40, 115, 161, 168, 72]"
118,7,6,"[6, 94, 97, 84, 107]","[109, 156, 13, 11, 19]"
119,5,4,"[56, 150, 152, 21, 80]","[6, 115, 14, 54, 91]"
120,5,4,"[52, 125, 46, 145, 72]","[144, 49, 23, 11, 107]"
121,6,4,"[56, 51, 46, 58, 108]","[41, 66, 152, 21, 31]"
122,4,6,"[24, 94, 133, 25, 90]","[53, 99, 13, 138, 19]"
123,4,6,"[123, 159, 113, 126, 104]","[40, 100, 97, 116, 5]"
124,6,4,"[6, 80, 161, 33, 59]","[1, 139, 9, 75, 88]"
125,4,6,"[109, 115, 14, 57, 91]","[112, 156, 130, 145, 107]"
126,6,5,"[37, 80, 161, 33, 59]","[112, 139, 13, 58, 108]"
127,5,6,"[1, 125, 14, 57, 91]","[123, 156, 130, 145, 15]"
128,6,5,"[109, 100, 133, 168, 107]","[24, 99, 97, 116, 90]"
129,5,3,"[53, 87, 70, 124, 19]","[56, 151, 168, 33, 72]"
130,3,5,"[52, 156, 133, 57, 104]","[162, 100, 152, 25, 5]"
131,3,5,"[123, 159, 91, 10, 76]","[1, 115, 97, 75, 88]"
132,3,5,"[112, 139, 14, 116, 90]","[113, 51, 2, 145, 107]"
133,4,6,"[41, 71, 138, 168, 72]","[40, 115, 3, 167, 76]"
134,4,6,"[120, 87, 152, 69, 19]","[6, 125, 130, 124, 104]"
135,6,4,"[109, 139, 14, 57, 90]","[92, 100, 133, 33, 15]"
136,6,4,"[43, 80, 25, 75, 83]","[118, 156, 9, 58, 108]"
137,4,6,"[24, 159, 23, 145, 5]","[162, 99, 113, 116, 107]"
138,5,8,"[98, 28, 152, 145, 91]","[111, 80, 53, 126, 5]"
139,8,5,"[109, 115, 14, 157, 104]","[162, 139, 9, 75, 83]"
140,8,5,"[43, 87, 133, 54, 72]","[40, 159, 113, 116, 90]"
141,2,3,"[40, 73, 25, 75, 83]","[130, 115, 138, 10, 76]"
142,3,2,"[109, 150, 168, 116, 90]","[56, 151, 2, 33, 72]"
143,2,3,"[1, 80, 53, 124, 91]","[123, 99, 152, 57, 104]"
144,3,2,"[98, 159, 133, 58, 108]","[43, 125, 14, 145, 112]"
145,3,6,"[162, 94, 91, 167, 72]","[40, 80, 138, 116, 90]"
146,3,6,"[37, 159, 2, 126, 19]","[112, 125, 25, 33, 5]"
147,6,3,"[109, 150, 14, 145, 107]","[123, 87, 133, 54, 104]"
148,5,4,"[123, 28, 97, 157, 104]","[109, 115, 46, 75, 88]"
149,5,4,"[162, 125, 14, 33, 72]","[85, 159, 133, 116, 107]"
150,4,5,"[98, 99, 37, 145, 5]","[112, 87, 9, 54, 19]"
