team_id,ally_draft,enemy_draft,win
8,"[56, 80, 161, 168, 90]","[22, 125, 14, 124, 72]",1
7,"[109, 139, 13, 116, 107]","[39, 94, 113, 10, 19]",1
7,"[1, 150, 9, 57, 91]","[123, 51, 37, 157, 15]",0
7,"[6, 159, 97, 145, 5]","[112, 156, 3, 25, 104]",0
1,"[43, 71, 133, 10, 17]","[53, 80, 14, 116, 19]",1
2,"[109, 150, 37, 25, 5]","[123, 159, 152, 157, 104]",1
2,"[1, 51, 113, 145, 107]","[6, 115, 13, 54, 100]",0
1,"[112, 125, 97, 163, 15]","[162, 156, 161, 168, 90]",1
3,"[109, 151, 9, 57, 107]","[56, 80, 97, 75, 108]",0
3,"[43, 150, 168, 33, 5]","[122, 159, 133, 54, 15]",0
4,"[37, 156, 152, 163, 59]","[112, 139, 23, 25, 91]",1
5,"[1, 159, 9, 55, 72]","[40, 106, 113, 57, 91]",1
6,"[6, 139, 3, 116, 19]","[52, 115, 70, 33, 59]",1
6,"[56, 80, 161, 168, 100]","[24, 150, 23, 124, 104]",0
6,"[109, 51, 152, 25, 90]","[123, 71, 97, 75, 107]",0
6,"[112, 125, 14, 145, 5]","[37, 156, 133, 163, 15]",1
1,"[43, 51, 133, 55, 107]","[6, 139, 2, 75, 15]",1
2,"[109, 96, 113, 25, 91]","[56, 156, 79, 10, 137]",1
2,"[123, 159, 14, 54, 100]","[112, 150, 168, 57, 5]",0
3,"[109, 159, 168, 57, 104]","[13, 125, 37, 54, 5]",0
6,"[112, 156, 14, 25, 91]","[123, 139, 9, 163, 108]",1
7,"[1, 150, 13, 55, 5]","[123, 159, 133, 157, 104]",0
4,"[112, 156, 152, 163, 107]","[98, 139, 97, 57, 91]",1
5,"[24, 139, 152, 124, 91]","[109, 94, 2, 57, 72]",1
8,"[123, 51, 14, 54, 15]","[6, 80, 161, 33, 5]",0
5,"[43, 159, 9, 25, 107]","[52, 156, 97, 163, 104]",0
1,"[162, 156, 46, 157, 104]","[52, 115, 97, 75, 88]",0
5,"[109, 159, 133, 57, 90]","[56, 125, 152, 163, 91]",1
1,"[112, 150, 37, 33, 15]","[43, 139, 9, 25, 107]",1
6,"[112, 125, 133, 75, 5]","[68, 156, 2, 163, 15]",1
2,"[43, 159, 113, 157, 104]","[6, 150, 97, 124, 91]",0
7,"[123, 100, 13, 55, 72]","[56, 159, 113, 10, 137]",1
3,"[43, 156, 9, 163, 108]","[6, 139, 37, 25, 90]",1
7,"[109, 125, 14, 145, 107]","[41, 150, 133, 54, 5]",1
8,"[109, 150, 13, 57, 5]","[56, 159, 133, 25, 15]",0
8,"[43, 156, 14, 54, 104]","[112, 115, 161, 33, 91]",0
2,"[13, 150, 37, 58, 91]","[112, 51, 152, 33, 107]",0
5,"[6, 159, 9, 75, 19]","[43, 125, 133, 25, 5]",1
8,"[56, 51, 152, 116, 90]","[109, 156, 9, 33, 5]",0
3,"[112, 150, 133, 57, 107]","[123, 139, 97, 75, 19]",1
7,"[41, 156, 113, 10, 19]","[109, 125, 97, 116, 107]",0
6,"[112, 150, 133, 145, 104]","[123, 139, 14, 124, 5]",1
1,"[52, 115, 14, 25, 107]","[112, 80, 161, 33, 19]",0
4,"[129, 159, 9, 145, 104]","[123, 156, 13, 124, 5]",1
1,"[123, 159, 9, 21, 11]","[1, 139, 152, 58, 108]",0
8,"[111, 87, 2, 145, 90]","[6, 99, 133, 168, 72]",1
5,"[53, 66, 37, 145, 90]","[123, 151, 91, 33, 107]",0
3,"[112, 99, 133, 54, 100]","[113, 159, 2, 57, 5]",1
7,"[109, 73, 9, 167, 90]","[56, 96, 113, 84, 19]",0
2,"[53, 99, 152, 157, 104]","[112, 80, 25, 54, 107]",0
7,"[43, 115, 2, 145, 91]","[52, 159, 133, 33, 5]",0
6,"[98, 159, 2, 75, 83]","[109, 99, 130, 57, 91]",0
6,"[6, 150, 133, 33, 5]","[154, 87, 9, 54, 112]",0
1,"[92, 159, 133, 33, 72]","[53, 125, 2, 11, 19]",0
1,"[112, 99, 138, 25, 5]","[6, 80, 161, 58, 108]",0
2,"[112, 125, 130, 54, 100]","[37, 99, 133, 124, 5]",0
4,"[92, 159, 14, 145, 91]","[53, 115, 152, 33, 104]",1
8,"[48, 94, 14, 84, 107]","[40, 80, 158, 75, 83]",0
5,"[123, 159, 2, 157, 104]","[109, 92, 161, 126, 5]",1
5,"[112, 99, 133, 33, 90]","[43, 87, 152, 54, 72]",0
3,"[162, 125, 168, 75, 83]","[40, 73, 13, 25, 90]",0
6,"[37, 87, 133, 84, 5]","[112, 99, 14, 33, 100]",1
7,"[156, 87, 152, 54, 90]","[22, 125, 46, 124, 5]",0
6,"[40, 73, 161, 84, 100]","[109, 80, 130, 58, 108]",1
7,"[112, 159, 133, 11, 19]","[6, 115, 14, 25, 104]",1
2,"[6, 73, 53, 58, 5]","[22, 115, 161, 168, 72]",0
8,"[43, 151, 133, 145, 90]","[109, 87, 2, 33, 107]",1
1,"[13, 150, 2, 25, 72]","[112, 159, 91, 57, 100]",0
3,"[123, 73, 168, 145, 107]","[1, 115, 133, 33, 5]",1
4,"[109, 94, 97, 55, 50]","[40, 120, 133, 157, 107]",1
5,"[112, 80, 161, 84, 90]","[162, 125, 152, 33, 5]",1
4,"[92, 159, 14, 25, 19]","[53, 115, 130, 57, 104]",1
5,"[123, 73, 161, 168, 99]","[1, 80, 6, 145, 17]",0
2,"[109, 115, 130, 58, 5]","[41, 156, 2, 33, 72]",1
2,"[112, 159, 14, 54, 107]","[113, 87, 133, 84, 90]",0
1,"[1, 159, 113, 145, 72]","[109, 87, 152, 33, 19]",0
6,"[43, 115, 25, 54, 5]","[153, 125, 14, 84, 104]",1
7,"[112, 115, 25, 75, 83]","[37, 99, 23, 58, 90]",0
3,"[109, 125, 14, 145, 5]","[1, 94, 158, 167, 104]",1
8,"[40, 87, 113, 84, 15]","[109, 115, 152, 157, 104]",0
8,"[53, 99, 133, 58, 90]","[41, 159, 14, 25, 5]",0
8,"[40, 87, 14, 84, 104]","[78, 159, 133, 33, 72]",1
1,"[1, 115, 161, 145, 91]","[109, 87, 23, 33, 107]",1
7,"[112, 125, 53, 57, 107]","[43, 115, 25, 138, 19]",0
4,"[123, 150, 130, 58, 108]","[1, 115, 14, 11, 59]",1
2,"[53, 150, 2, 33, 104]","[162, 87, 133, 145, 90]",1
3,"[37, 87, 14, 57, 91]","[112, 100, 53, 11, 5]",1
6,"[6, 150, 14, 33, 5]","[112, 49, 75, 145, 90]",1
7,"[56, 159, 14, 145, 90]","[53, 87, 133, 33, 107]",0
1,"[37, 159, 113, 84, 104]","[112, 51, 14, 33, 5]",0
2,"[123, 87, 152, 145, 90]","[53, 115, 130, 33, 19]",0
6,"[6, 150, 14, 33, 15]","[123, 159, 133, 58, 108]",1
4,"[112, 125, 23, 145, 5]","[37, 159, 14, 157, 104]",1
6,"[40, 150, 13, 57, 104]","[113, 115, 161, 33, 5]",1
3,"[56, 125, 14, 11, 108]","[6, 150, 23, 25, 91]",0
4,"[39, 73, 161, 33, 72]","[22, 115, 130, 57, 31]",1
2,"[56, 125, 13, 25, 15]","[129, 159, 46, 145, 100]",0
5,"[56, 156, 3, 33, 5]","[53, 154, 14, 57, 104]",0
3,"[112, 159, 133, 145, 90]","[6, 80, 97, 25, 107]",1
8,"[52, 171, 6, 25, 100]","[109, 115, 161, 145, 72]",1
4,"[144, 49, 152, 11, 90]","[22, 156, 133, 168, 15]",0
6,"[112, 115, 161, 54, 5]","[37, 80, 126, 57, 104]",1
4,"[56, 171, 23, 25, 107]","[53, 150, 14, 33, 72]",1
8,"[56, 156, 152, 57, 31]","[6, 171, 37, 55, 72]",1
3,"[109, 159, 14, 145, 99]","[40, 115, 130, 11, 104]",1
3,"[112, 150, 13, 25, 90]","[98, 80, 53, 33, 100]",0
1,"[80, 71, 161, 168, 17]","[52, 115, 130, 167, 19]",0
2,"[56, 156, 13, 57, 90]","[143, 159, 133, 11, 72]",1
1,"[53, 49, 6, 145, 107]","[112, 150, 97, 25, 5]",1
7,"[144, 151, 2, 145, 104]","[109, 7, 161, 168, 90]",0
5,"[6, 80, 14, 21, 107]","[112, 159, 130, 84, 100]",1
7,"[56, 150, 13, 33, 99]","[53, 115, 152, 25, 19]",1
2,"[13, 94, 97, 33, 72]","[109, 150, 133, 25, 99]",0
2,"[112, 115, 161, 58, 116]","[56, 156, 14, 29, 108]",0
1,"[112, 156, 97, 55, 19]","[13, 159, 3, 84, 107]",0
1,"[53, 150, 14, 33, 31]","[6, 151, 37, 145, 100]",0
7,"[100, 150, 2, 145, 104]","[40, 115, 161, 168, 72]",0
7,"[6, 94, 97, 84, 107]","[109, 156, 13, 11, 19]",0
5,"[56, 150, 152, 21, 80]","[6, 115, 14, 54, 91]",0
5,"[52, 125, 46, 145, 72]","[144, 49, 23, 11, 107]",0